id,name,glottocode,year,map_name_full,sources
561,Gwich'in,gwic1235,1750,,asher_moseley_2007 titus
562,Tlingit,tlin1245,1750,,asher_moseley_2007 titus
563,Tagish,tagi1240,1750,,asher_moseley_2007 titus
564,Kaska,kask1239,1750,,asher_moseley_2007 titus
565,North Slavey,nort2942,1750,,asher_moseley_2007
566,North Slavey,nort2942,1750,,asher_moseley_2007
568,Sekani,seka1250,1750,,asher_moseley_2007
569,Tsetsaut,tset1236,1750,,asher_moseley_2007
570,Southern Tutchone,sout2957,1750,,asher_moseley_2007 titus
571,Northern Tutchone,nort2941,1750,,asher_moseley_2007
572,Tanacross,tana1290,1750,,asher_moseley_2007
573,Tahltan,tahl1239,1750,,asher_moseley_2007 titus
574,Upper Kuskokwim,uppe1438,1750,,asher_moseley_2007
575,Upper Tanana,uppe1437,1750,,asher_moseley_2007
576,Chipewyan,chip1261,1750,,asher_moseley_2007 titus
577,Dogrib,dogr1252,1750,,asher_moseley_2007
578,Dakelh,carr1249,1750,,asher_moseley_2007 titus
579,Babine-Witsuwit'en,babi1235,1750,,asher_moseley_2007 titus
580,Tsimshian,nucl1649,1750,,asher_moseley_2007 titus
581,Tsilhqot'in,chil1280,1750,,asher_moseley_2007 titus
582,Haisla,hais1244,1750,,asher_moseley_2007
583,Kwak'wala,kwak1269,1750,,asher_moseley_2007 titus
584,Nuxalk,bell1243,1750,,asher_moseley_2007 titus
585,Heiltsuk-Oowekyala,heil1246,1750,,asher_moseley_2007
586,Blackfoot,siks1238,1750,,asher_moseley_2007 titus
587,Severn Ojibwa,seve1240,1750,,asher_moseley_2007 titus
588,Western Ojibwa,west1510,1750,,asher_moseley_2007
589,Central Ojibwa,cent2136,1750,,asher_moseley_2007 titus
590,Plains Cree,plai1258,1750,,asher_moseley_2007 titus
591,Woods Cree,wood1236,1750,,asher_moseley_2007 titus
592,Montagnais,mont1268,1750,,asher_moseley_2007 titus
593,Naskapi,nask1242,1750,,asher_moseley_2007 titus
594,Swampy Cree,swam1239,1750,,asher_moseley_2007 titus
595,Swampy Cree,swam1239,1750,,titus
596,Dakota,dako1258,1750,,asher_moseley_2007 titus
597,Omaha-Ponca,omah1247,1750,,asher_moseley_2007
598,Iowa-Otoe-Missouria,iowa1245,1750,,asher_moseley_2007
599,Kansa,kans1243,1750,,asher_moseley_2007
600,Osage,osag1243,1750,,asher_moseley_2007 titus
601,Quapaw,quap1242,1750,,asher_moseley_2007
602,Lakota,lako1247,1750,,asher_moseley_2007 titus
603,Mandan,mand1446,1750,,asher_moseley_2007
604,Crow,crow1244,1750,,asher_moseley_2007 titus
605,Assiniboine,assi1247,1750,,asher_moseley_2007 titus
606,Hidatsa,hida1246,1750,,asher_moseley_2007 titus
607,Arikara,arik1262,1750,,titus
608,East Cree,cree1272,1750,,asher_moseley_2007 titus
609,Cheyenne,chey1247,1750,,titus
610,Malecite-Passamaquoddy,male1292,1750,,asher_moseley_2007 titus
611,Mi'kmaq,mikm1235,1750,,asher_moseley_2007 titus
612,Tsuutʼina,sars1236,1750,,asher_moseley_2007 titus
613,Shuswap,shus1248,1750,,titus
614,Nuu-chah-nulth,nuuc1236,1750,,asher_moseley_2007 titus
615,Comox,como1259,1750,,asher_moseley_2007 titus
616,Sechelt,sech1246,1750,,asher_moseley_2007 titus
617,Pentlacht,pent1242,1750,,asher_moseley_2007 titus
618,Squamish,squa1248,1750,,asher_moseley_2007 titus
619,Halkomelem,halk1245,1750,,asher_moseley_2007 titus
620,Lushootseed,lush1252,1750,,asher_moseley_2007
621,Atikamekw,atik1240,1750,,asher_moseley_2007 titus
622,Eastern Ojibwa,east2542,1750,,asher_moseley_2007 titus
623,Algonquin,algo1255,1750,,asher_moseley_2007 titus
624,Eastern Abenaki,east2544,1750,,asher_moseley_2007 titus
625,Western Abenaki,west2630,1750,,asher_moseley_2007 titus
626,Laurentian,laur1250,1750,,asher_moseley_2007 titus
627,Mohegan-Montauk-Narragansett,mohe1244,1750,,asher_moseley_2007 titus
628,Loup A,loup1243,1750,,asher_moseley_2007 titus
629,Dane-zaa,beav1236,1750,,asher_moseley_2007 titus
630,Huron-Wyandot,wyan1247,1750,,asher_moseley_2007 titus
631,Mohawk,moha1258,1750,,asher_moseley_2007 titus
632,Seneca,sene1264,1750,,asher_moseley_2007 titus
633,Oneida,onei1249,1750,,asher_moseley_2007 titus
634,Onondaga,onon1246,1750,,asher_moseley_2007 titus
635,Cayuga,cayu1261,1750,,asher_moseley_2007 titus
636,Wenro,wenr1236,1750,,asher_moseley_2007 titus
637,Erie,erie1238,1750,,asher_moseley_2007 titus
638,Neutral,neut1237,1750,,asher_moseley_2007 titus
639,Susquehannock,susq1241,1750,,asher_moseley_2007 titus
640,Nottoway,nott1246,1750,,asher_moseley_2007 titus
641,Tuscarora,tusc1257,1750,,asher_moseley_2007 titus
642,Tutelo,tute1247,1750,,asher_moseley_2007 titus
643,Catawba,cata1286,1750,,asher_moseley_2007 titus
644,Cherokee,cher1273,1750,,asher_moseley_2007 titus
645,Creek,cree1270,1750,,asher_moseley_2007 titus
646,Apalachee,apal1237,1750,,asher_moseley_2007 titus
647,Timucua,timu1245,1750,,asher_moseley_2007 titus
648,Koasati,koas1236,1750,,asher_moseley_2007 titus
649,Alabama,alab1237,1750,,asher_moseley_2007 titus
650,Chickasaw,chic1270,1750,,asher_moseley_2007 titus
651,Choctaw,choc1276,1750,,asher_moseley_2007 titus
652,Natchez,natc1249,1750,,asher_moseley_2007 titus
653,Natchez,natc1249,1750,,asher_moseley_2007 titus
654,Caddo,cadd1256,1750,,asher_moseley_2007 titus
655,Wichita,wich1260,1750,,titus
