ID,Name,Description,Contributor,Citation,Glottocode,Year,Source,Media_IDs,Type,Map_IDs
map_1,,,,,,,carling2025diacl,,map,
239,Tatar,,,,tata1255,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
240,Erzya,,,,erzy1239,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
241,Khanty,,,,khan1273,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
242,Komi,,,,komi1267,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
243,Nganasan,,,,ngan1291,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
244,Selkup,,,,selk1253,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
245,Skolt Sami,,,,skol1241,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
246,Tundra Nenets,,,,nene1249,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
247,Udmurt,,,,udmu1245,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
248,Bura-Pabir,,,,bura1292,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
249,Tera,,,,tera1251,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
250,Afar,,,,afar1241,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
251,Saho,,,,saho1246,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
252,Somali,,,,soma1255,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
253,Coptic,,,,copt1239,1750,carling2025diacl;titus,features,feature,map_1
254,Beja,,,,beja1238,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
255,Amharic,,,,amha1245,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
256,Tigre,,,,tigr1270,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
257,Tigrinya,,,,tigr1271,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
258,Alagwa,,,,alag1248,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
259,Iraqw,,,,iraq1241,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
260,Bole,,,,nucl1695,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
261,Hausa,,,,haus1257,1750,carling2025diacl;asher_moseley_2007;titus,features,feature,map_1
262,Afrikaans,,,,afri1274,1750,carling2025diacl;titus,features,feature,map_1
263,Bhojpuri,,,,bhoj1244,1750,carling2025diacl;titus,features,feature,map_1
264,Dari,,,,dari1249,1750,carling2025diacl;titus,features,feature,map_1
